iter	Passed	Remaining
186	318	1386
187	319	1380
188	320	1374
189	321	1369
190	321	1363
191	322	1357
192	323	1352
193	324	1346
194	324	1340
195	325	1335
196	326	1330
197	327	1324
198	327	1319
199	328	1313
200	329	1308
201	329	1303
202	330	1298
203	331	1292
204	332	1287
205	332	1282
206	333	1277
207	334	1272
208	334	1267
209	335	1262
210	336	1257
211	336	1252
212	337	1247
213	338	1242
214	338	1237
215	339	1232
216	340	1227
217	341	1223
218	341	1218
219	342	1214
220	343	1209
221	343	1205
222	344	1200
223	345	1196
224	346	1191
225	346	1187
226	347	1183
227	348	1178
228	348	1174
229	349	1170
230	350	1166
231	351	1162
232	351	1157
233	352	1154
234	353	1150
235	354	1146
236	354	1141
237	355	1137
238	356	1134
239	356	1129
240	357	1126
241	358	1122
242	358	1118
243	359	1114
244	360	1110
245	361	1106
246	361	1102
247	362	1099
248	363	1095
249	363	1091
250	364	1088
251	365	1084
252	365	1080
253	366	1076
254	367	1073
255	367	1069
256	368	1065
257	369	1062
258	370	1058
259	370	1055
260	371	1051
261	372	1048
262	373	1045
263	373	1041
264	374	1038
265	375	1035
266	375	1032
267	376	1028
268	377	1025
269	378	1022
270	378	1019
271	379	1015
272	380	1012
273	380	1009
274	381	1006
275	382	1003
276	383	1000
277	384	997
278	384	994
279	385	991
280	386	988
281	387	985
282	387	982
283	388	979
284	389	976
285	389	973
286	390	970
287	391	967
288	392	964
289	392	961
290	393	958
291	394	956
292	395	953
293	395	950
294	396	947
295	397	944
296	397	941
297	398	938
298	399	935
299	399	932
300	400	930
301	401	927
302	401	924
303	402	921
304	403	918
305	403	916
306	404	913
307	405	910
308	405	907
309	406	905
310	407	902
311	408	899
312	408	897
313	409	894
314	410	891
315	410	889
316	411	886
317	412	884
318	413	881
319	413	879
320	414	876
321	415	874
322	415	871
323	416	869
324	417	866
325	418	864
326	418	862
327	419	859
328	420	857
329	421	855
330	421	852
331	422	850
332	423	847
333	424	845
334	424	843
335	425	841
336	426	838
337	427	836
338	427	834
339	428	831
340	429	829
341	430	827
342	430	825
343	431	823
344	432	820
345	432	818
346	433	816
347	434	813
348	435	811
349	435	809
350	436	806
351	437	804
352	437	802
353	438	800
354	439	797
355	439	795
356	440	793
357	441	791
358	441	789
359	442	786
360	443	784
361	443	782
362	444	780
363	445	778
364	445	775
365	446	773
366	447	771
367	448	769
368	448	767
369	449	765
370	450	763
371	451	761
372	451	759
373	452	757
374	453	755
375	453	753
376	454	751
377	455	749
378	456	747
379	456	745
380	457	743
381	458	741
382	459	739
383	459	737
384	460	735
385	461	733
386	461	731
387	462	729
388	463	727
389	464	726
390	464	724
391	466	722
392	466	721
393	467	719
394	468	717
395	469	715
396	469	713
397	470	711
398	471	709
399	472	708
400	472	706
401	473	704
402	474	702
403	475	700
404	475	699
405	476	697
406	477	695
407	478	693
408	478	692
409	479	690
410	480	688
411	481	687
412	482	685
413	483	683
414	483	681
415	484	680
416	485	678
417	485	676
418	486	674
419	487	673
420	488	671
421	488	669
422	489	667
423	490	666
424	491	664
425	491	662
426	492	661
427	493	659
428	494	657
429	495	656
430	496	655
431	497	653
432	497	652
433	498	650
434	499	648
435	500	647
436	500	645
437	501	643
438	502	642
439	503	640
440	504	638
441	504	637
442	505	635
443	506	634
444	507	632
445	507	630
446	508	629
447	509	627
448	510	626
449	511	624
450	511	623
451	512	621
452	513	619
453	514	618
454	514	616
455	515	615
456	516	613
457	517	611
458	517	610
459	518	608
460	519	607
461	519	605
462	520	603
463	521	602
464	522	600
465	523	599
466	523	597
467	524	596
468	525	595
469	526	593
470	527	592
471	527	590
472	528	589
473	529	587
474	530	586
475	531	584
476	531	583
477	532	581
478	533	580
479	534	578
480	534	577
481	535	575
482	536	574
483	537	572
484	537	571
